18367	7.15	0.70	2
1663	10.94	0.42	2
11832	13.74	0.77	2
11836	8.16	0.98	2
5295	14.88	0.83	2
84602	6.68	1.50	3
33725	26.96	1.09	3
64810	0.16	1.68	3
89316	9.40	0.66	3
87669	14.16	1.23	3
14177	5.40	1.02	2
29736	6.42	0.57	1
21057	8.42	0.77	1
13462	11.27	0.01	2
9968	12.99	0.36	2
34246	6.60	0.50	1
51421	2.08	0.34	1
40044	27.62	0.28	3
47826	6.47	0.49	1
17242	7.04	0.04	2
65770	7.50	1.07	3
37605	25.61	0.34	3
69479	14.42	1.48	3
18295	12.35	1.16	2
19256	14.19	0.98	2
9569	5.67	1.49	2
18027	14.34	1.10	2
70205	4.50	1.11	3
1892	10.33	1.38	2
1024	12.80	0.91	2
30766	21.75	1.72	3
27968	29.61	0.49	3
6695	13.48	1.22	2
47121	18.08	0.79	3
26677	0.19	0.81	1
49829	9.81	0.63	1
16901	14.53	1.14	2
19184	12.23	1.26	2
20367	2.64	1.03	1
7239	12.60	0.97	2
48847	15.02	0.51	3
70679	11.12	1.79	3
28912	5.81	0.21	1
77959	2.69	0.39	3
10116	13.66	1.03	2
9540	13.31	0.94	2
1246	6.22	1.04	2
67294	12.68	0.60	3
58949	6.67	1.10	1
17389	8.71	0.80	2
59612	1.51	0.72	1
26696	5.15	0.67	1
30102	8.27	0.32	1
21325	6.11	0.99	1
12322	9.55	0.29	2
38737	17.12	1.50	3
33038	0.47	0.38	1
37094	19.66	0.60	3
65659	4.51	0.42	3
5106	10.04	0.40	2
19557	10.55	1.47	2
20831	17.10	0.78	3
79931	3.27	0.68	3
45780	7.30	0.71	1
49240	25.02	0.77	3
3177	6.98	0.06	2
21131	4.20	0.81	1
25059	9.50	1.08	1
21275	6.75	0.92	1
6749	8.04	0.09	2
32891	0.15	0.30	1
19913	18.95	0.58	3
27597	25.14	1.39	3
15080	7.84	0.81	2
10559	13.05	0.57	2
16646	14.22	0.28	2
26634	0.28	0.59	1
52002	0.70	1.01	1
19162	15.09	0.73	3
6270	7.03	0.81	2
11584	11.56	0.51	2
32121	25.79	1.49	3
7502	5.85	0.46	2
32403	2.39	0.24	1
51496	9.96	1.01	1
17116	27.62	1.18	3
18035	6.37	0.27	2
44631	3.09	0.68	1
41687	7.30	1.07	1
16722	8.51	0.79	2
69736	0.44	0.68	3
63518	5.59	0.73	3
77931	1.19	0.61	3
39847	1.22	0.26	1
34815	9.37	0.33	1
29885	4.01	0.56	1
42551	19.64	1.50	3
25040	7.98	0.23	1
53514	5.03	0.44	1
9132	6.42	0.33	2
